epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6519,1.98344,3.05945,2.03732,0.22293,0.31033,0.22525,0.10302,2.14177,2.33463,2.29271,0.000552319,0.000552319,0.000552319
2,69.1721,1.98397,2.63443,2.06697,0.14601,0.39302,0.13897,0.04791,2.30692,2.56916,2.43487,0.00108605,0.00108605,0.00108605
3,103.718,1.96119,2.5777,2.07457,0.17731,0.32205,0.20666,0.09492,2.04013,2.2486,2.06056,0.00159777,0.00159777,0.00159777
4,137.588,1.96592,2.52305,2.06216,0.2748,0.46232,0.27609,0.09521,2.27868,2.20234,2.31386,0.00156798,0.00156798,0.00156798
5,168.607,1.89381,2.43177,2.03871,0.3328,0.35764,0.29771,0.11606,2.03955,2.30634,2.14474,0.00153497,0.00153497,0.00153497
6,200.661,1.83315,2.31674,1.97311,0.35275,0.43231,0.35478,0.14542,1.99216,1.96108,2.05412,0.00150197,0.00150197,0.00150197
7,232.627,1.81064,2.2543,1.94046,0.24066,0.459,0.34995,0.14816,2.01128,1.97528,2.05433,0.00146896,0.00146896,0.00146896
8,264.912,1.76462,2.16376,1.89866,0.43715,0.48185,0.41875,0.15781,2.00097,1.98399,2.13794,0.00143595,0.00143595,0.00143595
9,299.642,1.75844,2.16777,1.92906,0.38285,0.43652,0.45293,0.20964,1.88445,1.78646,1.99567,0.00140295,0.00140295,0.00140295
10,333.847,1.74214,2.11845,1.89851,0.39421,0.52056,0.41826,0.18029,2.05989,1.79447,2.10048,0.00136994,0.00136994,0.00136994
11,367.122,1.70635,2.09118,1.86764,0.46879,0.47443,0.46541,0.21734,1.86911,1.65773,1.9919,0.00133693,0.00133693,0.00133693
12,400.779,1.71796,2.07338,1.89507,0.30011,0.48723,0.38689,0.19394,1.89397,1.79494,2.02003,0.00130393,0.00130393,0.00130393
13,434.223,1.69445,1.99621,1.84937,0.35391,0.58149,0.4519,0.18292,2.06354,1.69908,2.07093,0.00127092,0.00127092,0.00127092
14,467.713,1.68278,1.98094,1.83437,0.54582,0.58791,0.52913,0.25109,1.82854,1.57878,1.92693,0.00123791,0.00123791,0.00123791
15,501.876,1.66634,1.95122,1.83226,0.44271,0.64112,0.49001,0.23716,1.8022,1.59556,1.95436,0.00120491,0.00120491,0.00120491
16,534.428,1.64366,1.90686,1.81176,0.47423,0.5537,0.47877,0.21923,1.8835,1.6613,2.0164,0.0011719,0.0011719,0.0011719
17,566.753,1.6233,1.89505,1.79925,0.48475,0.58204,0.49985,0.23702,1.86085,1.60045,1.94902,0.00113889,0.00113889,0.00113889
18,601.19,1.60009,1.83841,1.78099,0.54645,0.55938,0.54007,0.26008,1.77239,1.53022,1.90156,0.00110589,0.00110589,0.00110589
19,635.09,1.58862,1.82259,1.77086,0.52334,0.57157,0.54367,0.25662,1.90179,1.52597,2.00429,0.00107288,0.00107288,0.00107288
20,667.254,1.56841,1.81215,1.75636,0.50549,0.51022,0.46618,0.23223,1.88093,1.52209,2.00681,0.00103987,0.00103987,0.00103987
21,700.54,1.58334,1.80049,1.77482,0.61697,0.51718,0.55211,0.26204,1.84531,1.52044,1.99684,0.00100687,0.00100687,0.00100687
22,732.613,1.55397,1.77433,1.73745,0.52632,0.5795,0.54921,0.27471,1.75726,1.4692,1.89192,0.000973861,0.000973861,0.000973861
23,763.6,1.54562,1.75419,1.74294,0.51405,0.51527,0.50918,0.25882,1.87135,1.46716,2.03405,0.000940855,0.000940855,0.000940855
24,794.518,1.52859,1.73462,1.72852,0.44342,0.56683,0.4942,0.25425,1.827,1.47094,2.0153,0.000907848,0.000907848,0.000907848
25,827.588,1.53589,1.72416,1.72681,0.49114,0.55708,0.51895,0.25498,1.87922,1.46333,1.99862,0.000874842,0.000874842,0.000874842
26,861.966,1.50735,1.68051,1.70846,0.49105,0.55993,0.51547,0.26288,1.82942,1.44765,1.95358,0.000841835,0.000841835,0.000841835
27,894.664,1.50585,1.68719,1.71779,0.45023,0.58827,0.50289,0.26153,1.83564,1.4465,2.00332,0.000808828,0.000808828,0.000808828
28,927.856,1.49649,1.65354,1.70485,0.48311,0.5843,0.51666,0.27075,1.8337,1.44977,2.01117,0.000775822,0.000775822,0.000775822
29,960.914,1.49023,1.63096,1.7045,0.57068,0.57189,0.56062,0.28758,1.84403,1.3816,1.9995,0.000742815,0.000742815,0.000742815
30,994.004,1.45905,1.6053,1.6835,0.48845,0.57334,0.50114,0.24995,1.89486,1.42171,2.03344,0.000709809,0.000709809,0.000709809
31,1026.64,1.46956,1.57728,1.68366,0.52684,0.54503,0.52521,0.25754,1.84808,1.45223,1.98025,0.000676802,0.000676802,0.000676802
32,1060.11,1.44456,1.57355,1.6656,0.47276,0.60727,0.50195,0.24951,1.80698,1.43126,1.9479,0.000643795,0.000643795,0.000643795
33,1092.4,1.42334,1.52711,1.63989,0.4867,0.593,0.51527,0.24802,1.85557,1.44496,2.00975,0.000610789,0.000610789,0.000610789
34,1124.51,1.42458,1.5265,1.65312,0.403,0.60347,0.48685,0.24975,1.86856,1.50161,2.00859,0.000577782,0.000577782,0.000577782
35,1158.62,1.39131,1.48977,1.61869,0.48435,0.55006,0.51561,0.25325,1.87245,1.42661,2.02962,0.000544776,0.000544776,0.000544776
36,1193.38,1.38452,1.46392,1.60611,0.48148,0.593,0.50075,0.25272,1.89169,1.44452,2.04455,0.000511769,0.000511769,0.000511769
37,1225.5,1.37387,1.45487,1.60705,0.55328,0.58009,0.53265,0.27309,1.83839,1.39351,1.98571,0.000478762,0.000478762,0.000478762
38,1258.25,1.37794,1.45126,1.61466,0.4661,0.56705,0.49951,0.25079,1.86275,1.4244,2.00993,0.000445756,0.000445756,0.000445756
39,1290.55,1.35723,1.42475,1.58752,0.47028,0.60115,0.52643,0.26342,1.81795,1.40443,2.01219,0.000412749,0.000412749,0.000412749
40,1323.11,1.35466,1.42991,1.58664,0.52921,0.60258,0.54817,0.27433,1.86942,1.34595,2.04891,0.000379743,0.000379743,0.000379743
41,1357.29,1.33091,1.15996,1.66504,0.47037,0.59435,0.5143,0.25933,1.82115,1.42427,1.95894,0.000346736,0.000346736,0.000346736
42,1388.78,1.27648,1.09703,1.63393,0.48949,0.603,0.51957,0.26725,1.8367,1.47747,2.00381,0.000313729,0.000313729,0.000313729
43,1421.17,1.2418,1.05468,1.59689,0.57889,0.59359,0.55175,0.27948,1.87663,1.36631,2.08453,0.000280723,0.000280723,0.000280723
44,1453.06,1.22245,1.03314,1.58106,0.51223,0.59211,0.53925,0.27353,1.84619,1.39799,2.05353,0.000247716,0.000247716,0.000247716
45,1484.75,1.20515,0.99026,1.57526,0.51825,0.6143,0.53393,0.2655,1.84355,1.40191,2.05178,0.00021471,0.00021471,0.00021471
46,1516.88,1.17367,0.96394,1.5446,0.53915,0.56838,0.53597,0.27312,1.83003,1.43495,2.01518,0.000181703,0.000181703,0.000181703
47,1548.17,1.15812,0.94503,1.53346,0.48499,0.6101,0.52487,0.2649,1.84301,1.43534,2.0804,0.000148696,0.000148696,0.000148696
48,1579.41,1.12807,0.91423,1.51141,0.52474,0.59601,0.52212,0.26336,1.86803,1.43455,2.10629,0.00011569,0.00011569,0.00011569
49,1613.31,1.11906,0.8992,1.50016,0.51531,0.56115,0.52592,0.26111,1.86383,1.45939,2.12267,8.26832e-05,8.26832e-05,8.26832e-05
50,1647.37,1.10088,0.88326,1.4905,0.49248,0.61692,0.52383,0.26521,1.85356,1.47248,2.1199,4.96766e-05,4.96766e-05,4.96766e-05
