epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18046,2.49519,5.69053,2.51955,0.49466,0.25978,0.26446,0.10788,2.28381,5.29266,2.46929,0.00015554,0.00015554,0.00015554
2,6.34615,1.97123,3.11923,2.04505,0.50216,0.72247,0.70957,0.21055,2.22415,5.06041,2.38053,0.000315811,0.000315811,0.000315811
3,9.52568,1.73013,2.46167,1.83817,0.61562,0.62898,0.67468,0.28131,2.29311,2.37481,2.89711,0.000469482,0.000469482,0.000469482
4,14.4198,1.78451,2.22964,1.85631,0.46719,0.37802,0.40284,0.17256,2.3448,3.18263,2.67503,0.000616554,0.000616554,0.000616554
5,18.6882,1.7789,2.0648,1.81192,0.52114,0.62063,0.58754,0.17706,2.4254,2.46286,2.84659,0.000757027,0.000757027,0.000757027
6,23.142,1.74328,1.91502,1.82868,0.44545,0.47377,0.51513,0.16959,2.38038,6.72645,2.6607,0.0008909,0.0008909,0.0008909
7,26.4355,1.71677,1.86638,1.75385,0.62975,0.59443,0.66584,0.30638,2.08517,4.73613,2.27107,0.000979013,0.000979013,0.000979013
8,29.6421,1.70913,1.79566,1.80494,0.66493,0.44812,0.53677,0.21616,2.27639,3.15094,2.62356,0.000957015,0.000957015,0.000957015
9,32.823,1.65714,1.70809,1.77898,0.47252,0.58123,0.54504,0.23732,2.39704,5.60168,3.19561,0.000935018,0.000935018,0.000935018
10,36.0624,1.61346,1.52475,1.69874,0.60934,0.55308,0.5538,0.25258,2.22447,2.31066,2.53167,0.00091302,0.00091302,0.00091302
11,39.2585,1.56638,1.49578,1.66906,0.53916,0.46601,0.59672,0.28668,2.17279,2.19635,2.51543,0.000891022,0.000891022,0.000891022
12,42.469,1.57363,1.50367,1.67609,0.45566,0.64747,0.47901,0.17157,2.45418,3.25615,2.81627,0.000869024,0.000869024,0.000869024
13,45.688,1.5762,1.4972,1.6741,0.58748,0.48659,0.56171,0.2754,2.08136,2.50843,2.20832,0.000847026,0.000847026,0.000847026
14,48.9611,1.54374,1.3912,1.66634,0.57454,0.68088,0.68508,0.25618,2.09131,1.84333,2.17122,0.000825029,0.000825029,0.000825029
15,52.2859,1.53207,1.39332,1.64305,0.72449,0.74351,0.75335,0.36805,2.11522,1.65811,2.31062,0.000803031,0.000803031,0.000803031
16,55.6006,1.50961,1.31297,1.58074,0.71599,0.66119,0.72382,0.39197,2.10056,1.49779,2.36009,0.000781033,0.000781033,0.000781033
17,58.9088,1.49145,1.25829,1.58832,0.82772,0.80748,0.79926,0.33265,2.19107,1.36709,2.46276,0.000759035,0.000759035,0.000759035
18,62.181,1.47808,1.31533,1.58574,0.77409,0.77299,0.7761,0.31494,2.20705,1.53848,2.4218,0.000737037,0.000737037,0.000737037
19,65.4665,1.4276,1.13478,1.54448,0.82999,0.81711,0.87147,0.37949,2.12512,1.20559,2.32534,0.00071504,0.00071504,0.00071504
20,68.7869,1.32742,1.13631,1.46059,0.87667,0.77552,0.83969,0.36402,2.08636,1.0767,2.32935,0.000693042,0.000693042,0.000693042
21,72.0675,1.35526,1.10307,1.49924,0.89163,0.85903,0.87754,0.40381,2.14731,1.07476,2.51687,0.000671044,0.000671044,0.000671044
